var_name,units,long_name,short_name,standard_name
longitude,degrees_east,longitude,,
latitude,degrees_north,latitude,,
time,,time,,
d2m,K,2 metre dewpoint temperature,2m dew temp.,
t2m,K,2 metre temperature,2m temp.,
bcaod550,~,Black Carbon Aerosol Optical Depth at 550nm,BC AOD @ 550nm,
chnk,~,Charnock,Charnock,
duaod550,~,Dust Aerosol Optical Depth at 550nm,Dust AOD @ 550nm,
istl1,K,Ice temperature layer 1,Ice temp. layer 1,
lai_hv,m**2 m**-2,"Leaf area index, high vegetation","Leaf AI, high veg.",
lai_lv,m**2 m**-2,"Leaf area index, low vegetation","Leaf AI, low veg.",
msl,Pa,Mean sea level pressure,Mean sea level pressure,air_pressure_at_mean_sea_level
omaod550,~,Organic Matter Aerosol Optical Depth at 550nm,Oragnic matter AOD @ 550nm,
pm10,kg m**-3,Particulate matter d <= 10 um,PM_{10},mass_concentration_of_pm10_ambient_aerosol_particles_in_air
pm2p5,kg m**-3,Particulate matter d <= 2.5 um,PM_{2.5},mass_concentration_of_pm2p5_ambient_aerosol_particles_in_air
siconc,(0 - 1),Sea ice area fraction,Sea ice area fraction,sea_ice_area_fraction
ssaod550,~,Sea Salt Aerosol Optical Depth at 550nm,Sea salt AOD @ 550nm,
sst,K,Sea surface temperature,Sea surface temp.,
asn,(0 - 1),Snow albedo,Snow albedo,
rsn,kg m**-3,Snow density,Snow density,
sd,m of water equivalent,Snow depth,Snow depth,lwe_thickness_of_surface_snow_amount
stl1,K,Soil temperature level 1,Soil temp. level 1,surface_temperature
suaod550,~,Sulphate Aerosol Optical Depth at 550nm,Sulphate AOD @ 550nm,
sp,Pa,Surface pressure,Surface pressure,surface_air_pressure
tsn,K,Temperature of snow layer,Temp. of snow layer,temperature_in_surface_snow
aod550,~,Total Aerosol Optical Depth at 550nm,T AOD @ 550nm,
tcco,kg m**-2,Total column Carbon monoxide,TC CO,atmosphere_mass_content_of_carbon_monoxide
tc_c2h6,kg m**-2,Total column  ethane,TC C2H6,atmosphere_mass_content_of_ethane
tchcho,kg m**-2,Total column Formaldehyde,TC CH2O,atmosphere_mass_content_of_formaldehyde
